specobjid,SOURCETYPE,RA,Dec,plate,ra,dec,objid,run,rerun,camcol,field,z,mjd,fiberID,run2d,wavelength,red shift,red shift error,flux,g sn,r sn,i sn,central wavelength
501142038201264128,GALAXY                   ,128.55195,50.84799,445,128.551983068493,50.8480197534812,1237651252021952649,1345,301,5,150,0.09834077,51873,424,26,[3.5814 3.5815 3.5816 ... 3.9645 3.9646 3.9647],[ 5.325454  10.225878   8.695044  ...  7.8600283 10.749188  13.6385145],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501142313079171072,GALAXY                   ,128.56269,51.155542,445,128.562717061259,51.1555588823084,1237651192430985381,1331,301,6,176,0.05437673,51873,425,26,[3.5814 3.5815 3.5816 ... 3.9645 3.9646 3.9647],[12.964761 11.180334 11.01669  ...  8.726086 12.046787 15.367683],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501142587957078016,GALAXY                   ,128.49342,51.103172,445,128.493430921104,51.1031962558809,1237651192430985353,1331,301,6,176,0.07437969,51873,426,26,[3.5814 3.5815 3.5816 ... 3.9645 3.9646 3.9647],[ 8.662078 10.323946 11.304411 ... 10.095401 13.264728 16.434237],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501142862834984960,GALAXY                   ,128.73425,51.139619,445,128.734252287099,51.139633814643,1237651252022083727,1345,301,5,152,0.1200915,51873,427,26,[3.5813 3.5814 3.5815 ... 3.9643 3.9644 3.9645],[17.509064   7.6542997  4.720341  ... 16.41396   16.148966  15.742042 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501143137712891904,QSO                      ,128.77095,50.70453,445,128.77094628122,50.7045337856466,1237651191894049174,1331,301,5,175,-4.640185e-05,51873,428,26,[3.5813 3.5814 3.5815 ... 3.9643 3.9644 3.9645],"[ 4.991686   -1.5144774   3.7177734  ... -0.269555    0.35715762
 -0.8672092 ]",-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501143412590798848,GALAXY                   ,128.68086,51.164749,445,128.680867018101,51.1647648007199,1237651252022083716,1345,301,5,152,0.1731692,51873,429,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[ 0.5854077  2.0607429  5.299547  ... 20.992426  20.053265  18.87159  ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501143687468705792,GALAXY                   ,128.61628,50.959148,445,128.616295242948,50.9591769961384,1237651252022018301,1345,301,5,151,0.2659556,51873,430,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[-4.5580096  6.6098413  8.525537  ... 11.062803  11.133876   8.7495365],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501143962346612736,GALAXY                   ,128.63437,50.778658,445,128.634368124563,50.7786707847139,1237651191894049156,1331,301,5,175,0.2959532,51873,431,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[-1.7589556  0.308262   1.0242034 ...  5.605678   5.0816884  4.3317866],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501144237224519680,QSO                      ,128.67251,50.839307,445,128.672527544082,50.8393297977104,1237651191894048981,1331,301,5,175,0.4185206,51873,432,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[14.205145  12.397191   8.1809845 ...  5.7077694  3.7794762  4.4382577],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501144512102426624,GALAXY                   ,128.54537,50.746794,445,128.545334595605,50.746810117588,1237651191893983522,1331,301,5,174,0.1725771,51873,433,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],"[ 1.4994122  -0.08360025  0.07575262 ... 13.843423   11.970934
 11.936063  ]",-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501144786980333568,GALAXY                   ,128.56791,50.730328,445,128.567880478967,50.730336728641,1237651191893983448,1331,301,5,174,0.1755705,51873,434,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],"[ 6.7631035   2.2555542   0.97843176 ... 18.03879    16.13616
 12.649284  ]",-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501145061858240512,GALAXY                   ,128.67827,50.967102,445,128.678290406433,50.9671306986484,1237651252022018308,1345,301,5,151,0.2643897,51873,435,26,[3.5814 3.5815 3.5816 ... 3.9645 3.9646 3.9647],[ 4.962074  6.687383  2.809232 ...  6.097532  8.3409   10.5844  ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501145336736147456,GALAXY                   ,128.49402,50.902365,445,128.494046462169,50.9023866401717,1237651252021952792,1345,301,5,150,0.1810004,51873,436,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[ 6.9680862 -1.2060447 -5.152634  ... 13.519382  13.436682  14.9350605],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501145611614054400,GALAXY                   ,128.58562,50.652926,445,128.585593520775,50.6529321605732,1237651191893983407,1331,301,5,174,0.1414312,51873,437,26,[3.5813 3.5814 3.5815 ... 3.9645 3.9646 3.9647],"[-0.91594315  3.3292735   8.276306   ... 19.22543    20.586502
 21.94765   ]",-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
